text,aspectTerms/aspectTerm/0/_term,aspectTerms/aspectTerm/0/_polarity,aspectTerms/aspectTerm/0/_from,aspectTerms/aspectTerm/0/_to,aspectCategories/aspectCategory/0/_category,aspectCategories/aspectCategory/0/_polarity,_id,aspectCategories/aspectCategory/1/_category,aspectCategories/aspectCategory/1/_polarity,aspectTerms/aspectTerm/1/_term,aspectTerms/aspectTerm/1/_polarity,aspectTerms/aspectTerm/1/_from,aspectTerms/aspectTerm/1/_to,aspectTerms/aspectTerm/2/_term,aspectTerms/aspectTerm/2/_polarity,aspectTerms/aspectTerm/2/_from,aspectTerms/aspectTerm/2/_to,aspectTerms/aspectTerm/3/_term,aspectTerms/aspectTerm/3/_polarity,aspectTerms/aspectTerm/3/_from,aspectTerms/aspectTerm/3/_to,aspectTerms/aspectTerm/4/_term,aspectTerms/aspectTerm/4/_polarity,aspectTerms/aspectTerm/4/_from,aspectTerms/aspectTerm/4/_to,aspectTerms/aspectTerm/5/_term,aspectTerms/aspectTerm/5/_polarity,aspectTerms/aspectTerm/5/_from,aspectTerms/aspectTerm/5/_to,aspectTerms/aspectTerm/6/_term,aspectTerms/aspectTerm/6/_polarity,aspectTerms/aspectTerm/6/_from,aspectTerms/aspectTerm/6/_to,aspectCategories/aspectCategory/2/_category,aspectCategories/aspectCategory/2/_polarity,aspectTerms/aspectTerm/7/_term,aspectTerms/aspectTerm/7/_polarity,aspectTerms/aspectTerm/7/_from,aspectTerms/aspectTerm/7/_to,aspectCategories/aspectCategory/3/_category,aspectCategories/aspectCategory/3/_polarity,aspectTerms/aspectTerm/8/_term,aspectTerms/aspectTerm/8/_polarity,aspectTerms/aspectTerm/8/_from,aspectTerms/aspectTerm/8/_to
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",toast,negative,41,46,food,negative,296,,,mayonnaise,negative,18,28,bacon,negative,126,131,cheese,neutral,73,79,ingredients,negative,57,68,plate,neutral,170,175,omelet,neutral,86,92,,,,,,,,,,,,
"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",drinks,neutral,82,88,service,conflict,1793,,,check,neutral,32,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The design and atmosphere is just as good.,design,positive,4,10,ambience,positive,2200,,,atmosphere,positive,15,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
He has visited Thailand and is quite expert on the cuisine.,cuisine,positive,51,58,food,positive,3195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.,,,,,anecdotes/miscellaneous,positive,3119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The pizza is the best if you like thin crusted pizza.,pizza,positive,4,9,food,positive,3359,,,thin crusted pizza,neutral,34,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,,,,,anecdotes/miscellaneous,positive,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"He can't help, they're bought up so fast.",,,,,anecdotes/miscellaneous,neutral,1829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Secondly, on this night the place was overwhelmed by upper east side ladies perfume.",,,,,ambience,negative,2935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"i have eaten here a handful of times, for no reason besides sheer convenience.",,,,,anecdotes/miscellaneous,neutral,1805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obviously run by folks who know a pie.,,,,,service,positive,2559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We were very disappointed.,,,,,anecdotes/miscellaneous,negative,716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT IS DEFINITELY SPECIAL AND AFFORDABLE.,,,,,anecdotes/miscellaneous,positive,2464,price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I really liked this place.,,,,,anecdotes/miscellaneous,positive,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I will be going back very soon.,,,,,anecdotes/miscellaneous,positive,1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All the money went into the interior decoration, none of it went to the chefs.",interior decoration,positive,28,47,ambience,positive,3534,food,negative,chefs,negative,72,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,negative,4,9,ambience,negative,1407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I asked for seltzer with lime, no ice.",seltzer with lime,neutral,12,29,food,neutral,565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It was pretty inexpensive too.,,,,,price,positive,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will not be back.,,,,,anecdotes/miscellaneous,negative,1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",pickles,positive,77,84,food,positive,675,,,selection of meats and seafoods,positive,91,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My suggestion is to eat family style because you'll want to try the other dishes.,dishes,neutral,74,80,food,neutral,2227,,,eat family style,positive,20,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best of all is the warm vibe, the owner is super friendly and service is fast.",vibe,positive,24,28,service,positive,3367,ambience,positive,owner,positive,34,39,service,positive,62,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This isn't a value joint.,,,,,price,negative,1210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faan's got a great concept but a little rough on the delivery.,delivery,negative,53,61,anecdotes/miscellaneous,positive,2191,service,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",food,positive,20,24,food,positive,270,service,positive,atmosphere,positive,38,48,service,positive,66,73,,,,,,,,,,,,,,,,,ambience,positive,,,,,,,,,,
"Great food at REASONABLE prices, makes for an evening that can't be beat!",food,positive,6,10,food,positive,638,price,positive,prices,positive,25,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Look foward to trying the Ruben upon returning.,,,,,anecdotes/miscellaneous,positive,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The only other steakhouse that seems to hold a candle to Roth's is the Strip House.,,,,,anecdotes/miscellaneous,neutral,1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We usually go to the Chart House to celebrate a birthday or anniversary.,,,,,anecdotes/miscellaneous,neutral,3294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this little place has a cute interior decor and affordable city prices.,interior decor,positive,29,43,ambience,positive,388,price,positive,prices,positive,64,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You'll adore it.,,,,,anecdotes/miscellaneous,positive,3070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two words: Free wine.,wine,positive,16,20,price,positive,3373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The price is reasonable although the service is poor.,price,positive,4,9,service,negative,425,price,positive,service,negative,37,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The quantity is also very good, you will come out satisfied.",quantity,positive,4,12,food,positive,3192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I have been to Roth's twice and both times were very disappointing.,,,,,anecdotes/miscellaneous,negative,1098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worth visiting the 1st Ave spot because it is the original store.,,,,,anecdotes/miscellaneous,positive,2173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi,neutral,118,123,anecdotes/miscellaneous,neutral,391,,,sushi bar,neutral,146,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Raga's is a romantic, cozy restaurant.",,,,,ambience,positive,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The fried rice is amazing here.,fried rice,positive,4,14,food,positive,2384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",mussels,positive,42,49,food,positive,2962,,,puff pastry goat cheese,positive,51,74,salad with a delicious dressing,positive,79,110,hanger steak au poivre,positive,118,140,courses,neutral,6,13,,,,,,,,,,,,,,,,,,,,
it's a perfect place to have a amanzing indian food.,indian food,positive,40,51,food,positive,3404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The place is so cool and the service is prompt and curtious.,service,positive,29,36,service,positive,2599,ambience,positive,place,positive,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At the end you're left with a mild broth with noodles that you can slurp out of a cup.,broth with noodles,positive,35,53,food,positive,673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I just wonder how you can have such a delicious meal for such little money.,meal,positive,48,52,price,positive,648,food,positive,money,positive,69,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food was delicious but do not come here on a empty stomach.,food,conflict,4,8,food,conflict,863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The wine list is excellent.,wine list,positive,4,13,food,positive,1623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so garantuan that you can't fit them in a toaster.,,,,,food,positive,2177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",Thai food,positive,84,93,food,positive,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They wouldnt even let me finish my glass of wine before offering another.,glass of wine,neutral,35,48,service,positive,1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I highly recommend the Sophia pizza.,,,,,anecdotes/miscellaneous,positive,1823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",specials,neutral,75,83,service,negative,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is a consistently great place to dine for lunch or dinner.,lunch,neutral,47,52,anecdotes/miscellaneous,positive,2783,,,dinner,neutral,56,62,dine,positive,38,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nice atmosphere, the service was very pleasant and the desert was good.",atmosphere,positive,5,15,food,positive,2983,service,positive,service,positive,21,28,desert,positive,55,61,,,,,,,,,,,,,,,,,ambience,positive,,,,,,,,,,
All the people that I bring there go back on their own and bring THEIR friends!,,,,,anecdotes/miscellaneous,positive,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
After really enjoying ourselves at the bar we sat down at a table and had dinner.,bar,positive,39,42,anecdotes/miscellaneous,positive,627,,,table,neutral,60,65,dinner,neutral,74,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",service,positive,9,16,food,positive,3219,service,positive,food,positive,28,32,atmosphere,positive,52,62,environment,positive,67,78,,,,,,,,,,,,,ambience,positive,,,,,,,,,,
Not what I wanted to hear.,,,,,anecdotes/miscellaneous,negative,2934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Try the lasagnette appetizer.,lasagnette appetizer,positive,8,28,food,positive,2787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pricey, but worth a try, at least once.",,,,,price,negative,825,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I've been there a few times, and I usually end up sitting next to some pretty odd people.",,,,,anecdotes/miscellaneous,negative,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I liked the beer selection!,beer selection,positive,12,26,food,positive,604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Great food, good size menu, great service and an unpretensious setting.",food,positive,6,10,food,positive,2911,service,positive,menu,positive,22,26,service,positive,34,41,setting,positive,63,70,,,,,,,,,,,,,ambience,positive,,,,,,,,,,
Go here for a romantic dinner but not for an all out wow dining experience.,dinner,positive,23,29,anecdotes/miscellaneous,conflict,3074,,,dining,positive,57,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can't wait to go back.,,,,,anecdotes/miscellaneous,positive,1479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,Dosa,neutral,17,21,anecdotes/miscellaneous,neutral,1074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wine list selection is good and wine-by-the-glass was generously filled to the top.,Wine list selection,positive,0,19,food,positive,912,,,wine-by-the-glass,positive,32,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"With the great variety on the menu , I eat here often and never get bored .",menu,positive,30,34,food,positive,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The menu is very limited - i think we counted 4 or 5 entrees.,menu,negative,4,8,food,negative,2925,,,entrees,negative,53,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.",,,,,anecdotes/miscellaneous,positive,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The menu is limited but almost all of the dishes are excellent.,menu,negative,4,8,food,conflict,3436,,,dishes,positive,42,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not too crazy about their sake martini.,sake martini,negative,26,38,food,negative,3273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Great bagels, spreads and a good place to hang out in.",bagels,positive,6,12,food,positive,1215,anecdotes/miscellaneous,positive,spreads,positive,14,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The service varys from day to day- sometimes they're very nice, and sometimes not.",service,conflict,4,11,service,conflict,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"whoever the jazz duo was, they were on POINT.",,,,,ambience,positive,2511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,table,neutral,90,95,service,positive,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This place is a great bargain.,,,,,price,positive,1562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We happened upon this place purely by accident and were pleased with the results.,,,,,anecdotes/miscellaneous,positive,1712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",food,positive,19,23,food,positive,3249,anecdotes/miscellaneous,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deff recimmend Bukhara they also have opened two new locations guess ill try them out.,,,,,anecdotes/miscellaneous,positive,2052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We always have a delicious meal and always leave feeling satisfied.,meal,positive,27,31,food,positive,3207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dip the ingredients in with your chopsticks, swirl them around, and eat.",ingredients,neutral,8,19,food,neutral,672,,,chopsticks,neutral,33,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First went here to enjoy their garden terrace.,garden terrace,positive,31,45,ambience,positive,2972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"My husbands was perfect, my was well done and dry.",,,,,food,conflict,1903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.",,,,,service,positive,2549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The pizza was pretty good and huge.,pizza,positive,4,9,food,positive,1755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sapphire is the only Indian restaurant I go to when I'm in NYC.,,,,,anecdotes/miscellaneous,positive,2890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",cuisine,neutral,4,11,food,neutral,2277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I heartily recommend.,,,,,anecdotes/miscellaneous,positive,2308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones.,,,,,anecdotes/miscellaneous,positive,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,atmosphere,positive,50,60,ambience,positive,3680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They are often crowded on the weekends but they are efficient and accurate with their service.,service,positive,86,93,service,positive,3155,ambience,negative,crowded,negative,15,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All my co-workers were amazed at how small the dish was.,dish,negative,47,51,food,negative,1688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The atmosphere is unheralded, the service impecible, and the food magnificant.",atmosphere,positive,4,14,food,positive,598,service,positive,service,positive,34,41,food,positive,61,65,,,,,,,,,,,,,,,,,ambience,positive,,,,,,,,,,
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",grilled branzino,negative,24,40,food,negative,2926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The wait staff is friendly, and the food has gotten better and better!",wait staff,positive,4,14,food,positive,3083,service,positive,food,positive,36,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This place, which is only a few months old, is perhaps Queens' biggest secret!",,,,,anecdotes/miscellaneous,positive,1388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",vibe,positive,44,48,food,positive,2977,ambience,conflict,French food,positive,76,87,packed,negative,16,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This place is so much fun.,,,,,anecdotes/miscellaneous,positive,1574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I was glad I did.,,,,,anecdotes/miscellaneous,positive,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Right off the L in Brooklyn this is a nice cozy place with good pizza.,pizza,positive,64,69,food,positive,2604,ambience,positive,place,positive,48,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I've never been treated so rudely.,,,,,service,negative,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'll be back soon.,,,,,anecdotes/miscellaneous,positive,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Pere Pinard has a $15 pre-theater menu that is outstanding.,pre-theater menu,positive,25,41,food,positive,2960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Went inside and I started to get excited.,,,,,anecdotes/miscellaneous,positive,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I also ordered for delivery and the restaurant forgot half the order.,delivery,negative,19,27,service,negative,1383,,,order,negative,63,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Our server checked on us maybe twice during the entire meal.,server,negative,4,10,service,negative,892,,,meal,neutral,55,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"However, it is jus too good to not praise it.",,,,,anecdotes/miscellaneous,positive,2296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We have been to Montparnasse many times and return often for good reason.,,,,,anecdotes/miscellaneous,positive,868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The strong scents coming from the left and right of me negatively affected my taste buds.,scents,negative,11,17,anecdotes/miscellaneous,negative,2936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We had the lobster sandwich and it was FANTASTIC.,lobster sandwich,positive,11,27,food,positive,3423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It's somewhere you can eat and be happy.,,,,,anecdotes/miscellaneous,positive,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you wrote a bad review, it's because you don't understand what Rao's is all about.",,,,,anecdotes/miscellaneous,positive,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",check,negative,143,148,service,negative,1197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but overall i give it a 10,,,,,anecdotes/miscellaneous,positive,2061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",Spider Roll,conflict,11,22,food,positive,2274,price,positive,price,positive,124,129,shell crab,positive,67,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep Fried Skewers are good and still rare to find in NYC.,Deep Fried Skewers,positive,0,18,food,positive,2804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I have tried to make reservations, but both times, the hostess didn't have my name.",reservations,neutral,21,33,service,negative,194,,,hostess,negative,55,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I also recommend the rice dishes or the different varieties of congee (rice porridge).,rice dishes,positive,21,32,food,positive,148,,,congee (rice porridge),positive,63,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Their tuna tartar appetizer is to die for.,tuna tartar appetizer,positive,6,27,food,positive,2747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This was one of the BEST restaurants I've ever been to.,,,,,anecdotes/miscellaneous,positive,2845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This restaurant used to be pretty decent.,,,,,anecdotes/miscellaneous,negative,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",Food,conflict,25,29,food,positive,856,,,chef,positive,114,118,fish dishes,positive,186,197,soups,positive,202,207,kitchen,positive,134,141,cuisine,positive,104,111,,,,,,,,,,,,,,,,
"If you love wine and cheese and delicious french fare, you'll love Artisanal!",wine,positive,12,16,food,positive,2033,,,french fare,positive,42,53,cheese,positive,21,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I love Indian food and consider myself to be quite an expert on it.,Indian food,positive,7,18,food,positive,1402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some baby pizzas get their wish.,baby pizzas,neutral,5,16,food,neutral,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plenty of choices to make your own creation.,,,,,food,positive,3360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It was tiny and I felt like I was eating in someone's living room.,,,,,ambience,negative,2949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I was there on sat.,,,,,anecdotes/miscellaneous,neutral,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall A oh ya even though there is waiting it is deff worth it,waiting,negative,37,44,anecdotes/miscellaneous,positive,2053,service,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
