,text,Food Probability,Place Probability,Service Probability,Topic
51,it's a perfect place to have a amanzing indian food.,0.075754255,0.85124665,0.07299914,Place
52,The place is so cool and the service is prompt and curtious.,0.08706361,0.8239299,0.08900648,Place
53,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,0.11304013,0.7596798,0.12728009,Place
54,I just wonder how you can have such a delicious meal for such little money.,0.06878809,0.8464255,0.0847865,Place
55,The food was delicious but do not come here on a empty stomach.,0.112310044,0.79706013,0.09062979,Place
56,The wine list is excellent.,0.08972868,0.82284766,0.08742364,Place
57,so garantuan that you can't fit them in a toaster.,0.33333334,0.33333334,0.33333334,Food
58,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",0.7111838,0.24861018,0.04020605,Food
59,They wouldnt even let me finish my glass of wine before offering another.,0.065370694,0.87495106,0.059678268,Place
60,I highly recommend the Sophia pizza.,0.82926834,0.08603779,0.084693894,Food
61,"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",0.7669836,0.11984426,0.11317214,Food
62,This is a consistently great place to dine for lunch or dinner.,0.27802557,0.67018574,0.051788665,Place
63,"Nice atmosphere, the service was very pleasant and the desert was good.",0.07269643,0.8414365,0.08586711,Place
64,All the people that I bring there go back on their own and bring THEIR friends!,0.6882758,0.061621208,0.25010294,Food
65,After really enjoying ourselves at the bar we sat down at a table and had dinner.,0.40467566,0.5232831,0.07204115,Place
66,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",0.06810945,0.8619169,0.069973625,Place
67,Not what I wanted to hear.,0.16904268,0.66189206,0.16906525,Place
68,Try the lasagnette appetizer.,0.17331098,0.64860165,0.17808741,Place
69,"Pricey, but worth a try, at least once.",0.116214395,0.11508959,0.768696,Service
70,"I've been there a few times, and I usually end up sitting next to some pretty odd people.",0.0718509,0.06384932,0.8642998,Service
71,I liked the beer selection!,0.5562929,0.09154903,0.35215807,Food
72,"Great food, good size menu, great service and an unpretensious setting.",0.053523067,0.8937787,0.052698296,Place
73,Go here for a romantic dinner but not for an all out wow dining experience.,0.85886115,0.072105914,0.069032945,Food
74,Can't wait to go back.,0.6455337,0.11970937,0.23475693,Food
75,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,0.07795581,0.53786016,0.384184,Place
76,Wine list selection is good and wine-by-the-glass was generously filled to the top.,0.0649302,0.875454,0.05961578,Place
77,"With the great variety on the menu , I eat here often and never get bored .",0.07508869,0.85038817,0.0745232,Place
78,The menu is very limited - i think we counted 4 or 5 entrees.,0.81703347,0.08995422,0.093012296,Food
79,"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.",0.11153152,0.78974044,0.098728016,Place
80,The menu is limited but almost all of the dishes are excellent.,0.107964985,0.80097014,0.09106489,Place
81,Not too crazy about their sake martini.,0.33333334,0.33333334,0.33333334,Food
82,"Great bagels, spreads and a good place to hang out in.",0.07305737,0.6019742,0.32496846,Place
83,"The service varys from day to day- sometimes they're very nice, and sometimes not.",0.121073894,0.32096186,0.55796427,Service
84,"whoever the jazz duo was, they were on POINT.",0.33333334,0.33333334,0.33333334,Food
85,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,0.044492856,0.043336518,0.91217065,Service
86,This place is a great bargain.,0.118651874,0.7579406,0.12340754,Place
87,We happened upon this place purely by accident and were pleased with the results.,0.11431515,0.7685595,0.11712531,Place
88,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",0.17112835,0.73097384,0.09789784,Place
89,Deff recimmend Bukhara they also have opened two new locations guess ill try them out.,0.13289945,0.115619525,0.751481,Service
90,We always have a delicious meal and always leave feeling satisfied.,0.050837655,0.89274967,0.0564127,Place
91,"Dip the ingredients in with your chopsticks, swirl them around, and eat.",0.18081337,0.16834825,0.6508384,Service
92,First went here to enjoy their garden terrace.,0.8195297,0.0924428,0.08802752,Food
93,"My husbands was perfect, my was well done and dry.",0.7831479,0.10802484,0.10882732,Food
94,"Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.",0.07052196,0.857197,0.07228108,Place
95,The pizza was pretty good and huge.,0.84593695,0.07912608,0.07493693,Food
96,Sapphire is the only Indian restaurant I go to when I'm in NYC.,0.7616279,0.120585226,0.11778685,Food
97,"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",0.8364272,0.084219284,0.07935347,Food
98,I heartily recommend.,0.65562624,0.17298044,0.17139333,Food
99,Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones.,0.8415645,0.08615188,0.07228364,Food
100,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,0.05845006,0.082116075,0.8594339,Service
101,They are often crowded on the weekends but they are efficient and accurate with their service.,0.08761606,0.5203902,0.39199367,Place
102,All my co-workers were amazed at how small the dish was.,0.11157031,0.7771326,0.111297086,Place
103,"The atmosphere is unheralded, the service impecible, and the food magnificant.",0.08563197,0.8256885,0.08867958,Place
104,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",0.5876853,0.13081968,0.281495,Food
105,"The wait staff is friendly, and the food has gotten better and better!",0.18872981,0.75542724,0.055842966,Place
106,"This place, which is only a few months old, is perhaps Queens' biggest secret!",0.17726658,0.64058024,0.18215315,Place
107,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",0.055365663,0.46443585,0.48019847,Service
108,This place is so much fun.,0.11557963,0.71577954,0.16864079,Place
109,I was glad I did.,0.33333334,0.33333334,0.33333334,Food
110,Right off the L in Brooklyn this is a nice cozy place with good pizza.,0.7725175,0.1467797,0.08070278,Food
111,I've never been treated so rudely.,0.087963864,0.09930718,0.812729,Service
112,I'll be back soon.,0.17823727,0.17116278,0.65059996,Service
113,Le Pere Pinard has a $15 pre-theater menu that is outstanding.,0.6335282,0.18499735,0.18147446,Food
114,Went inside and I started to get excited.,0.6637575,0.16772597,0.16851653,Food
115,I also ordered for delivery and the restaurant forgot half the order.,0.07038782,0.06875521,0.86085695,Service
116,Our server checked on us maybe twice during the entire meal.,0.8089507,0.102451466,0.088597804,Food
117,"However, it is jus too good to not praise it.",0.11711365,0.71388197,0.16900434,Place
118,We have been to Montparnasse many times and return often for good reason.,0.057985686,0.06717743,0.8748369,Service
119,The strong scents coming from the left and right of me negatively affected my taste buds.,0.3322007,0.58569723,0.08210207,Place
120,We had the lobster sandwich and it was FANTASTIC.,0.113501824,0.7497098,0.13678841,Place
121,It's somewhere you can eat and be happy.,0.33333334,0.33333334,0.33333334,Food
122,"If you wrote a bad review, it's because you don't understand what Rao's is all about.",0.17139724,0.16812922,0.6604736,Service
123,"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",0.88975525,0.05340864,0.056836095,Food
124,but overall i give it a 10,0.7669263,0.1125344,0.12053928,Food
125,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",0.15047759,0.04279991,0.80672246,Service
126,Deep Fried Skewers are good and still rare to find in NYC.,0.07390651,0.08423658,0.84185696,Service
127,"I have tried to make reservations, but both times, the hostess didn't have my name.",0.83791924,0.0741323,0.087948404,Food
128,I also recommend the rice dishes or the different varieties of congee (rice porridge).,0.31737465,0.6310403,0.051585086,Place
129,Their tuna tartar appetizer is to die for.,0.5375726,0.34117293,0.121254444,Food
130,This was one of the BEST restaurants I've ever been to.,0.74714476,0.16481633,0.088038884,Food
131,This restaurant used to be pretty decent.,0.8538126,0.07699474,0.06919269,Food
132,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",0.1906929,0.7711493,0.038157802,Place
133,"If you love wine and cheese and delicious french fare, you'll love Artisanal!",0.050842855,0.24600415,0.703153,Service
134,I love Indian food and consider myself to be quite an expert on it.,0.08241127,0.6689917,0.2485971,Place
135,Some baby pizzas get their wish.,0.6548954,0.17608653,0.16901806,Food
136,Plenty of choices to make your own creation.,0.7690912,0.11485136,0.11605742,Food
137,It was tiny and I felt like I was eating in someone's living room.,0.0607585,0.059804108,0.8794374,Service
138,I was there on sat.,0.33333334,0.33333334,0.33333334,Food
139,Overall A oh ya even though there is waiting it is deff worth it,0.80710024,0.064557105,0.12834264,Food
140,The lava cake dessert was incredible and I recommend it.,0.31251913,0.5988393,0.08864157,Place
141,VT is what baby pizzas hope to be when they grow up.,0.6548839,0.17609766,0.1690184,Food
142,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",0.5755127,0.36143294,0.0630544,Food
143,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,0.037102483,0.925087,0.03781057,Place
144,The last time I went we were seated at a table in a corridor next to the kitchen.,0.4386075,0.058913726,0.5024787,Service
145,good selection of wines ranging from affordable to high end.,0.5854274,0.3453884,0.06918417,Food
146,"Nice restaurant overall, with classic upscale Italian decor.",0.86927587,0.06648746,0.06423668,Food
147,Not impressed with the food.,0.11446067,0.7685623,0.11697703,Place
148,The entire dining experience was wonderful!,0.8159344,0.099002324,0.085063264,Food
149,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,0.74443823,0.22518374,0.030378086,Food
150,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,0.6929039,0.24855946,0.058536682,Food
151,"Order the panang duck, it's fantastic.",0.11865432,0.72414386,0.15720178,Place
152,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",0.04575624,0.84709555,0.10714826,Place
153,"Other than the crappy service from two individuals, it's great.",0.11720017,0.7599959,0.12280393,Place
154,What more can you ask for?,0.33333334,0.33333334,0.33333334,Food
155,Wondering who had the best deals we noticed a line had formed to wait for this one particular establishment.,0.7783208,0.14732984,0.07434936,Food
156,They have authentic Indian at amazin prices.,0.78974825,0.09348434,0.11676742,Food
157,You are treated just like royality.,0.12101185,0.12290239,0.7560857,Service
158,"There's nice and quiet, small but enough for 6 (or more).",0.092076086,0.1600275,0.74789643,Service
159,Ambiance- relaxed and stylish.,0.17198959,0.21333857,0.6146719,Service
160,I've never felt more unwelcome than last month at Jimmy's Bronx Cafe.,0.08821345,0.09311609,0.81867045,Service
161,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",0.1235376,0.1185127,0.7579497,Service
162,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",0.87252504,0.05595688,0.07151813,Food
163,"Looking from the outside in, one would hesitate to enter this hole in the wall (really, that's what it is).",0.07203504,0.3350139,0.5929511,Service
164,and yes Dal Bukhara is so dam good and so are all the kababs.,0.18454719,0.63673913,0.17871366,Place
165,I look forward to eating here again,0.12404617,0.11661891,0.75933486,Service
166,I've been coming here as a child and always come back for the taste.,0.4555297,0.4697826,0.07468774,Place
167,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,0.047517773,0.90155566,0.050926577,Place
168,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",0.09155916,0.11117292,0.7972679,Service
169,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",0.11522085,0.7656904,0.11908879,Place
170,The food always tastes fresh and served promptly.,0.059572175,0.6086324,0.33179548,Place
171,I know because I live nearby.,0.11812922,0.12637492,0.75549585,Service
172,The pizza here is delicious.,0.3340634,0.5502315,0.11570501,Place
173,My entire family was horrified.,0.66105413,0.17124827,0.16769764,Food
174,On a monthly basis my friends and I get together and have a girls night out.,0.7643798,0.12095609,0.11466408,Food
175,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",0.22885609,0.725519,0.04562487,Place
176,"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.",0.60822564,0.31679037,0.07498397,Food
177,But who says Murray's is anything about service.,0.11588066,0.164926,0.7191933,Service
178,"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",0.069046654,0.87045914,0.060494203,Place
179,I have NEVER been disappointed in the Red Eye.,0.12331166,0.71998566,0.15670273,Place
180,Hats off to the chef.,0.17535558,0.6485384,0.17610599,Place
181,This should have been done in a back room - away from customers.,0.82384175,0.08325457,0.09290371,Food
182,"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",0.8994133,0.051139988,0.049446695,Food
183,Glad you have the luxury to throw out paying customers.,0.17866766,0.6490534,0.17227897,Place
184,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",0.38346943,0.36367735,0.25285324,Food
185,Its an excellent place to relax and the food is one of the best in the city of New York.,0.047324657,0.5234875,0.4291879,Place
186,"service is friendly, and never had a problem walking in and getting a table.",0.06802644,0.883657,0.048316635,Place
187,The atmosphere was crowded but it was a great bistro-type vibe.,0.08844029,0.47780076,0.433759,Place
188,Check it out,0.66535693,0.16727203,0.16737106,Food
189,"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",0.05081083,0.8914609,0.057728257,Place
190,Don't go.,0.33333334,0.33333334,0.33333334,Food
191,The food was bland oily.,0.17487285,0.64269537,0.18243182,Place
192,But they do.,0.33333334,0.33333334,0.33333334,Food
193,"What is even better, is that the prices are very affordable as well, and the food is really good.",0.29867217,0.6552906,0.046037223,Place
194,The fish is fresh but the variety of fish is nothing out of ordinary.,0.070493646,0.069551215,0.85995513,Service
195,Look I dont know if the people who wrote the reviews have ever been to a decent place (PLEASE TRY SOMEOTHER PLACES).,0.040669862,0.5951633,0.3641669,Place
196,Suan has challenged this loyalty.,0.33333334,0.33333334,0.33333334,Food
197,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",0.40827635,0.5350624,0.05666129,Place
198,"And Kruno, the beverage manager is the best bartender I have yet to come across.",0.8158237,0.09605334,0.08812297,Food
199,"Ambiance and music funky, which I enjoy.",0.112942174,0.79867554,0.08838226,Place
200,"The food, drinks and service are clearly among the best in the city.",0.07078812,0.81583256,0.11337929,Place
201,I went there in late afternoon for some bite size food and refleshment with my date.,0.7135813,0.21572213,0.07069658,Food
202,"It's a really great deal, considering we got full off of four dollars.",0.07305579,0.83558035,0.09136387,Place
203,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",0.39618763,0.56823313,0.035579294,Place
204,Went with mommy (the only person who could afford taking me here).,0.30102935,0.073589556,0.6253811,Service
205,My friends and I were on vacation in NY and was referred to Chance by a friend.,0.7725418,0.11518514,0.112273015,Food
206,"Last time I went here, the waitress didn't come back after taking our order.",0.25747797,0.04626763,0.69625443,Service
207,Try the tandoori salmon!,0.33333334,0.33333334,0.33333334,Food
208,"I am completely hooked on this place, it is ridiculous.",0.17727399,0.64052135,0.18220468,Place
209,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",0.0801566,0.07273629,0.8471071,Service
210,"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",0.7545778,0.17821611,0.06720612,Food
211,"Have recommended the place to friends, always gets good response.",0.2666859,0.6826724,0.050641745,Place
212,We will return many times for this oasis in mid-town.,0.12017807,0.086975805,0.79284614,Service
213,I love the atmorphere @ peep!,0.16818331,0.17022794,0.6615887,Service
214,Enjoy!,0.652866,0.17588066,0.17125337,Food
215,We weren't!,0.33333334,0.33333334,0.33333334,Food
216,This is one of my favorite restaurants and it is not to be missed.,0.31909794,0.11735798,0.5635441,Service
217,(La Rosa is connected by a swinging door to the Mexican restaurant Pacifico).,0.25295326,0.11777139,0.6292754,Service
218,It could have been handled better.,0.11901126,0.14032128,0.74066746,Service
219,The service was attentive and her suggestions of menu items was right on the mark.,0.6863436,0.22736517,0.08629123,Food
220,The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.,0.04473772,0.31877166,0.63649064,Service
221,Please be aware that it's CASH or AMEX only!,0.16738074,0.66098,0.17163926,Place
222,"Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!",0.48624587,0.23528926,0.27846488,Food
223,It's a rather cramped and busy restaurant and it closes early.,0.81328803,0.097377054,0.08933488,Food
224,"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",0.06445945,0.8655367,0.070003875,Place
225,"We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.",0.8591519,0.07247775,0.068370365,Food
226,I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,0.88869596,0.050325498,0.06097854,Food
227,They were served warm and had a soft fluffy interior.,0.11663979,0.7428613,0.14049892,Place
228,What came to our table was burned beyond recognition and stringy.,0.7406567,0.13384233,0.12550093,Food
229,I had the Pad Thai and the noodles were sticky.,0.121336214,0.75099355,0.12767023,Place
230,"So I've never actually been to M proper, but I've had it delivered a few times.",0.08841688,0.7950732,0.11650991,Place
231,"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.",0.086149596,0.84553546,0.06831494,Place
232,"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.",0.42149305,0.07242269,0.50608426,Service
233,The hostess is rude to the point of being offensive.,0.16904415,0.16724725,0.6637086,Service
234,"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!",0.050478272,0.9005874,0.048934326,Place
235,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",0.071195476,0.06190974,0.86689484,Service
236,The food is great.,0.117854744,0.75865984,0.12348544,Place
237,Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,0.5384298,0.055624835,0.4059454,Food
238,"Lunch came with pickels and slaw, no extra charge.",0.76354736,0.11802631,0.11842635,Food
239,Decent wine at reasonable prices.,0.41695976,0.34442735,0.23861286,Food
240,All conveniently delivered right to the door.,0.122387476,0.11316806,0.7644445,Service
241,even the wine by the glass was good.,0.08683801,0.8394027,0.07375926,Place
242,Nice Family owned traditional restaurant.,0.8074083,0.08932471,0.103267044,Food
243,would have rather tried terrace in the sky or water club for that price,0.46079138,0.07137383,0.4678348,Service
244,This dish is my favorite and I always get it when I go there and never get tired of it.,0.07274943,0.54814315,0.37910742,Place
245,"I also ordered the Change Mojito, which was out of this world.",0.09147529,0.7988489,0.10967581,Place
246,Okay service.,0.17297299,0.6466336,0.18039341,Place
247,The only thing more wonderful than the food (which is exceptional) is the service.,0.50055534,0.43847016,0.06097448,Food
248,We were very pleasantly surprised.,0.16764076,0.17054293,0.66181636,Service
249,"The food was just awful, ATROCIOUS actually.",0.11603279,0.76772803,0.11623924,Place
250,I will never visit this restaurant again.,0.10908071,0.110110946,0.7808083,Service
251,The soup for the udon was soy sauce and water.,0.15640447,0.7270346,0.11656091,Place
252,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",0.056784164,0.8720442,0.071171634,Place
253,The waitress suggested glasses of wine that went very well with the food.,0.3780972,0.56916577,0.052737035,Place
254,"(or sister, in my case!).",0.33333334,0.33333334,0.33333334,Food
255,I've eaten at many different Indian restaurants.,0.8830053,0.059092004,0.057902653,Food
256,"They might be all business at the counter when you give your order, but their food says I love you.",0.32686052,0.064003915,0.60913557,Service
257,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",0.23555197,0.05054315,0.71390486,Service
258,Try their plain pizza with fresh garlic or eggplant.,0.703546,0.115907155,0.18054685,Food
259,Don't go there!,0.33333334,0.33333334,0.33333334,Food
260,"Ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention.",0.62980896,0.04909344,0.32109764,Food
261,Good luck getting a table.,0.09095619,0.81956464,0.08947918,Place
262,"We picked it randomly, without a recommendation from someone who has been there, so we weren't sure what to expect.",0.84262085,0.075082324,0.08229682,Food
263,Don't look down your nose at me like that...,0.11802062,0.119620234,0.76235914,Service
264,Planet Thai is great!,0.12509549,0.7532232,0.121681295,Place
265,The service is awful.,0.17297608,0.6465866,0.18043736,Place
266,Just don't do it.,0.33333334,0.33333334,0.33333334,Food
267,Just ignore the trendy wannabes.,0.33333334,0.33333334,0.33333334,Food
268,"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",0.47717097,0.47879258,0.04403646,Place
269,"Trust me, it will be great, and all of it will be devoured in no time.",0.12060786,0.14381884,0.7355733,Service
270,My girlfiends and I ate at O.G. again last night.,0.7482835,0.1190474,0.1326691,Food
271,I wish they had one near my office- I would go everyday.,0.17772332,0.17141727,0.6508594,Service
272,Finally!,0.19142523,0.6393352,0.1692396,Place
273,Amma has the worst value for money I have experienced in NYC over the past 2 years.,0.08871073,0.23390129,0.67738795,Service
274,"I am not the most experienced person when it comes to Thai food, but my friend who took me there is.",0.7797299,0.06176862,0.15850148,Food
275,I think this would be a pretty good spot if it were not so overpriced and overrated.,0.5646058,0.3634037,0.07199054,Food
276,Regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you Five minutes.,0.3237328,0.081229724,0.5950375,Service
277,The pizza is good though.,0.28898695,0.62294835,0.088064745,Place
278,bottles of wine are cheap and good.,0.08807498,0.82610595,0.08581911,Place
279,You will not be disapointed at all.,0.33333334,0.33333334,0.33333334,Food
280,Walk-ins are risky too.,0.33333334,0.33333334,0.33333334,Food
281,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",0.37721577,0.3115518,0.3112324,Food
282,They didn't give us the dinner special until we asked for it.,0.85874116,0.07149239,0.06976639,Food
283,You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,0.073390186,0.8415084,0.08510141,Place
284,"word of advice, save room for pasta dishes and never leave until you've had the tiramisu.",0.051792108,0.060140423,0.8880675,Service
285,Very good service and very good prices.,0.074152194,0.8511076,0.0747402,Place
286,I recently went to this restaurant with some co-workers for lunch and had an amazing time.,0.860291,0.07107256,0.068636395,Food
287,"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",0.057651103,0.27211455,0.6702343,Service
288,Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,0.32580793,0.1270767,0.5471154,Service
289,Our food was great too!,0.117851876,0.75871205,0.123436086,Place
290,Open late (well as late as I ever got there and I'm a night person),0.88824534,0.05013097,0.061623707,Food
291,"The most annoying thing, though, is the fact that the servers seem to be trained to drive revenue.",0.8304666,0.092316344,0.07721698,Food
